circuit,source_sha256,qubits,gates,reduction_max_nodes,duration_seconds,status,error,amplitudes,contained_amplitudes,containment_rate,midpoint_fidelity,midpoint_l2_error,midpoint_norm,mean_diameter,max_diameter,l2_radius,certified_l2_error_bound
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,exact,0.002360,ok,,4,4,1.0,1.0,5.560634656913423e-16,1.0000000000000002,0.0,0.0,0.0,0.0
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,1,0.001306,ok,,4,4,1.0,0.4999999999999999,0.7071067811865472,0.707106781186548,4.8284271247461925,4.8284271247461925,4.8284271247461925,1.7071067811865481
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,2,0.002497,ok,,4,4,1.0,0.25,0.8660254037844384,0.5,4.2426406871192865,4.2426406871192865,4.2426406871192865,1.5000000000000002
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,4,0.001655,ok,,4,4,1.0,1.0,5.560634656913423e-16,1.0000000000000002,0.0,0.0,0.0,0.0
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,8,0.001542,ok,,4,4,1.0,1.0,5.560634656913423e-16,1.0000000000000002,0.0,0.0,0.0,0.0
small/iswap_n2,0c6d4dffaeb32c5758511cb51d5f89bcb6c97f3f60c1f5e3cbbeabb53c53ed50,2,9,16,0.001490,ok,,4,4,1.0,1.0,5.560634656913423e-16,1.0000000000000002,0.0,0.0,0.0,0.0
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,exact,0.002371,ok,,32,32,1.0,1.0000000000000004,1.5704685738656363e-15,1.0000000000000009,0.0,0.0,0.0,0.0
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,1,0.001539,ok,,32,32,1.0,0.5000000000000002,0.707106781186547,0.7071067811865479,4.8284271247461925,4.8284271247461925,13.656854249492387,1.7071067811865481
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,2,0.002430,ok,,32,32,1.0,0.5000000000000002,2.2360679774997925,2.8284271247461925,10.828427124746199,10.828427124746199,30.627416997969544,3.8284271247461925
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,4,0.002274,ok,,32,32,1.0,0.5000000000000002,2.2360679774997925,2.8284271247461925,10.828427124746199,10.828427124746199,30.627416997969544,3.8284271247461925
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,8,0.002238,ok,,32,32,1.0,0.8000000000000002,0.5000000000000007,1.1180339887498962,5.990704784914574,5.990704784914574,16.944271909999173,2.1180339887498962
small/lpn_n5,4216e9b4fdf9f22e6ae4f92a67aac8c634209093db4e3f0290f5413165b4de87,5,11,16,0.002301,ok,,32,32,1.0,1.0000000000000004,1.5704685738656363e-15,1.0000000000000009,0.0,0.0,0.0,0.0
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,exact,0.001913,ok,,8,8,1.0,1.0,5.864904842088747e-16,1.0,0.0,0.0,0.0,0.0
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,1,0.002170,ok,,8,8,1.0,1.0,1.0000000000000009,2.0000000000000004,8.485281374238573,8.485281374238573,12.000000000000004,3.0000000000000004
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,2,0.002032,ok,,8,8,1.0,1.0,1.0362907589042387e-15,1.0000000000000004,5.656854249492382,5.656854249492382,8.000000000000002,2.0000000000000004
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,4,0.002324,ok,,8,8,1.0,0.8888888888888893,0.3535533905932738,1.0606601717798219,5.828427124746194,5.828427124746194,8.242640687119291,2.0606601717798223
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,8,0.002046,ok,,8,8,1.0,0.8888888888888893,0.3535533905932738,1.0606601717798216,5.828427124746193,5.828427124746193,8.24264068711929,2.060660171779822
small/qaoa_n3,4dc17a12b187cc3cf02962cf023a36de4cc48ed3923343ab9ef84e3daf89f5c7,3,15,16,0.004179,ok,,8,8,1.0,0.8895053387252367,0.353553390593274,1.037877448771913,5.763987853015043,5.763987853015043,8.151509795087652,2.0378774487719125
